type,requests,clients,avg,stdev,max,stdevper
scone-async,10000,35,0.00153,530.25us,7.02ms,68.65%
scone-async,10000,35,0.00153,547.81us,5.60ms,66.47%
scone-async,10000,35,0.00153,561.13us,12.00ms,67.49%
scone-async,20000,35,0.00211,4.13ms,56.90ms,95.95%
scone-async,20000,35,0.00296,5.99ms,67.78ms,93.08%
scone-async,20000,35,0.00165,2.57ms,51.87ms,98.38%
scone-async,40000,35,0.00118,573.28us,8.79ms,67.60%
scone-async,40000,35,0.00216,6.26ms,68.10ms,97.12%
scone-async,40000,35,0.00237,7.07ms,86.40ms,96.57%
scone-async,50000,35,0.00126,1.23ms,23.95ms,92.89%
scone-async,50000,35,0.00124,1.07ms,19.95ms,91.55%
scone-async,50000,35,0.00139,2.33ms,45.31ms,96.42%
scone-async,55000,35,0.00443,7.86ms,94.08ms,89.59%
scone-async,55000,35,0.00365,6.71ms,82.56ms,90.73%
scone-async,55000,35,0.00401,7.67ms,101.63ms,90.79%
scone-async,60000,35,0.47094,291.39ms,1.30s,65.65%
scone-async,60000,35,0.51771,276.26ms,1.40s,67.67%
scone-async,60000,35,0.84614,307.41ms,1.97s,69.57%
scone-async,65000,35,2.25,659.23ms,3.96s,61.49%
scone-async,65000,35,2.05,634.79ms,3.72s,61.51%
scone-async,65000,35,2.01,473.99ms,3.16s,65.64%
scone-async,70000,35,3.22,866.55ms,5.86s,59.21%
scone-async,70000,35,3.39,945.83ms,5.40s,59.15%
scone-async,70000,35,3.31,844.60ms,5.37s,61.05%
scone-async,80000,35,5.42,1.58s,8.56s,58.55%
scone-async,80000,35,5.47,1.50s,8.72s,58.57%
scone-async,80000,35,5.43,1.57s,8.72s,58.50%
scone-async,100000,35,8.50,2.37s,12.95s,58.45%
scone-async,100000,35,8.33,2.40s,13.15s,57.83%
scone-sync,10000,30,0.0015,547.66us,5.38ms,65.68%
scone-sync,10000,30,0.00156,597.39us,11.02ms,67.08%
scone-sync,10000,30,0.00154,567.84us,7.12ms,65.60%
scone-sync,20000,30,0.00251,5.10ms,55.04ms,94.37%
scone-sync,20000,30,0.00215,4.38ms,56.00ms,95.98%
scone-sync,20000,30,0.00291,5.96ms,55.71ms,93.12%
scone-sync,40000,30,0.00244,7.32ms,75.20ms,96.08%
scone-sync,40000,30,0.00109,535.19us,8.11ms,68.73%
scone-sync,40000,30,0.00111,620.04us,12.57ms,76.36%
scone-sync,50000,30,0.00131,1.32ms,19.87ms,91.39%
scone-sync,50000,30,0.0015,2.56ms,41.66ms,95.17%
scone-sync,50000,30,0.00131,1.41ms,24.67ms,92.27%
scone-sync,55000,30,0.0281,36.33ms,310.78ms,88.37%
scone-sync,55000,30,0.02277,27.28ms,188.93ms,84.95%
scone-sync,55000,30,0.0218,26.15ms,185.86ms,84.84%
scone-sync,60000,30,1.37,455.89ms,2.70s,62.57%
scone-sync,60000,30,1.45,479.32ms,2.63s,61.68%
scone-sync,60000,30,1.50,455.90ms,2.82s,63.10%
scone-sync,65000,30,2.87,866.01ms,4.84s,60.14%
scone-sync,65000,30,2.86,855.11ms,4.65s,58.96%
scone-sync,65000,30,2.97,882.14ms,4.84s,59.16%
scone-sync,70000,30,4.40,1.17s,6.76s,58.71%
scone-sync,70000,30,4.08,1.20s,6.52s,58.16%
scone-sync,70000,30,4.10,1.17s,6.81s,58.72%
scone-sync,80000,30,6.14,1.77s,9.58s,57.67%
scone-sync,80000,30,6.07,1.74s,9.49s,58.43%
scone-sync,80000,30,6.14,1.77s,9.58s,57.42%
scone-sync,100000,30,8.87,2.55s,13.54s,57.76%
scone-sync,100000,30,8.90,2.56s,13.52s,58.09%
scone-sync,100000,30,8.89,2.53s,13.57s,57.51%
glibc,10000,30,0.00343,16.59ms,206.85ms,98.32%
glibc,10000,30,0.00142,520.55us,8.13ms,64.02%
glibc,10000,30,0.00141,515.37us,4.15ms,64.60%
glibc,20000,30,0.00148,1.51ms,39.01ms,98.35%
glibc,20000,30,0.0015,1.71ms,38.30ms,98.33%
glibc,20000,30,0.00144,1.21ms,32.26ms,97.32%
glibc,40000,30,0.00308,9.96ms,100.42ms,95.74%
glibc,40000,30,0.00118,619.91us,12.62ms,69.35%
glibc,40000,30,0.00178,5.35ms,87.87ms,98.31%
glibc,50000,30,0.00309,10.14ms,94.46ms,95.47%
glibc,50000,30,0.005,21.59ms,215.30ms,96.44%
glibc,50000,30,0.004,18.90ms,194.56ms,97.27%
glibc,55000,30,0.00131,1.34ms,21.30ms,91.89%
glibc,55000,30,0.00113,0.99ms,17.90ms,91.89%
glibc,55000,30,0.00136,1.43ms,21.41ms,91.58%
glibc,60000,30,0.00091,613.13us,11.26ms,87.26%
glibc,60000,30,0.00457,10.22ms,94.40ms,93.74%
glibc,60000,30,0.00092,702.47us,18.78ms,92.02%
glibc,65000,30,0.03327,48.89ms,260.22ms,86.39%
glibc,65000,30,0.00184,3.34ms,38.91ms,92.72%
glibc,65000,30,0.01982,29.57ms,195.58ms,85.59%
glibc,70000,30,1.24,270.97ms,2.28s,69.42%
glibc,70000,30,0.77502,363.43ms,2.14s,64.39%
glibc,70000,30,1.09,316.96ms,2.02s,68.46%
glibc,80000,30,2.97,954.55ms,5.26s,59.33%
glibc,80000,30,3.43,886.23ms,5.31s,58.45%
glibc,80000,30,2.93,869.12ms,5.16s,61.19%
glibc,100000,30,6.52,1.78s,10.04s,58.09%
glibc,100000,30,6.07,1.79s,9.72s,58.80%
glibc,100000,30,6.73,1.80s,10.35s,58.44%
