type,clients,latency,throughput
scone-async,10,1.971716109,512.3575518
scone-async,10,1.970570374,512.4723995
scone-async,10,1.970795263,512.5589763
scone-async,10,1.971017799,512.3404892
scone-async,10,1.971727242,512.3565018
scone-async,10,1.97136024,512.4693531
scone-async,10,1.972087807,512.3402792
scone-async,10,1.971790304,512.3268399
scone-async,10,1.971376397,512.3657947
scone-async,10,1.970426498,512.4169385
scone-async,15,3.511694894,286.1277485
scone-async,15,3.511270917,286.1130292
scone-async,15,3.511627587,286.1145845
scone-async,15,3.510884786,286.1411593
scone-async,15,3.511473612,286.0993264
scone-async,15,3.511769295,286.1082486
scone-async,15,3.511484163,286.1329882
scone-async,15,3.507451827,286.4602774
scone-async,15,3.510199999,286.2188978
scone-async,15,3.510970617,286.108838
scone-async,15,3.512126395,286.1234586
scone-async,15,3.511988204,286.1122924
scone-async,15,3.509571493,286.2860562
scone-async,15,3.510749162,286.1052035
scone-async,15,3.511029019,286.1200203
scone-sync,10,2.369962874,424.068068
scone-sync,10,2.370013073,424.1174561
scone-sync,10,2.368371795,424.1792344
scone-sync,10,2.370116378,424.0619897
scone-sync,10,2.367209033,424.5578888
scone-sync,10,2.370288512,424.0316009
scone-sync,10,2.370601451,424.0592923
scone-sync,10,2.368545736,424.2348394
scone-sync,10,2.370164554,424.082635
scone-sync,10,2.369650917,424.0848651
scone-sync,15,3.385958899,296.225132
scone-sync,15,3.387126187,296.129674
scone-sync,15,3.388282896,296.0736664
scone-sync,15,3.386667588,296.0987568
scone-sync,15,3.386830611,296.1393907
scone-sync,15,3.387677319,296.0774534
scone-sync,15,3.386438592,296.1138901
scone-sync,15,3.383462644,296.4778374
scone-sync,15,3.383685374,296.2660991
scone-sync,15,3.386860708,296.1149599
scone-sync,15,3.386952121,296.0865705
scone-sync,15,3.388349464,296.0665487
scone-sync,15,3.387068029,296.1436178
scone-sync,15,3.38719104,296.1266749
scone-sync,15,3.387145743,296.0986165
scone-sync,5,1.089389597,946.2026993
scone-sync,5,1.089389597,946.2026993
scone-sync,5,1.089389597,946.2026993
scone-sync,5,1.089389597,946.2026993
scone-sync,5,1.089389597,946.2026993
scone-async,5,1.180192106,860.3593721
scone-async,5,1.180155122,860.2752915
scone-async,5,1.180618242,860.3737326
scone-async,5,1.180178202,860.1438745
scone-async,5,1.180339727,859.8591276
glibc+stunnel,5,0.422975042,2398.25177
glibc+stunnel,5,0.423502213,2395.810972
glibc+stunnel,5,0.423431228,2397.082463
glibc+stunnel,5,0.422699479,2399.592645
glibc+stunnel,5,0.423083105,2397.200837
glibc+stunnel,10,0.438803926,2292.978441
glibc+stunnel,10,0.438634152,2295.521804
glibc+stunnel,10,0.439139087,2294.711653
glibc+stunnel,10,0.438312639,2296.026726
glibc+stunnel,10,0.438825108,2294.687431
glibc+stunnel,10,0.439382385,2294.1031
glibc+stunnel,10,0.438942399,2294.212573
glibc+stunnel,10,0.438954594,2293.867346
glibc+stunnel,10,0.438743249,2293.358114
glibc+stunnel,10,0.43868605,2294.136783
glibc+stunnel,15,0.456056371,2195.856331
glibc+stunnel,15,0.455305816,2198.627529
glibc+stunnel,15,0.455626615,2197.157055
glibc+stunnel,15,0.457246813,2190.821422
glibc+stunnel,15,0.45442031,2204.657471
glibc+stunnel,15,0.454679529,2207.41196
glibc+stunnel,15,0.45616947,2195.540068
glibc+stunnel,15,0.455481671,2197.90847
glibc+stunnel,15,0.457919845,2188.786322
glibc+stunnel,15,0.455245257,2201.061704
glibc+stunnel,15,0.458356,2186.167941
glibc+stunnel,15,0.454249523,2207.018318
glibc+stunnel,15,0.457159539,2192.259395
glibc+stunnel,15,0.456188802,2196.505535
glibc+stunnel,15,0.457151274,2192.651635
