reqs,type,avg,stdev,max,stdevperc
1000,noscone,1.45ms,455.62us,8.16ms,70.14%
1000,noscone,1.41ms,438.03us,7.99ms,69.46%
1000,noscone,1.50ms,470.53us,9.50ms,68.81%
1000,noscone,1.54ms,448.86us,6.42ms,66.76%
1000,noscone,1.52ms,448.82us,8.04ms,67.83%
1000,noscone,1.42ms,440.41us,7.60ms,68.87%
1000,noscone,1.48ms,444.13us,7.96ms,66.68%
1000,noscone,1.44ms,447.09us,8.16ms,67.59%
1000,noscone,1.42ms,449.40us,7.82ms,70.22%
1000,noscone,1.47ms,444.64us,6.74ms,68.29%
1000,noscone,1.54ms,430.61us,8.19ms,67.98%
1000,noscone,1.46ms,423.71us,5.89ms,68.68%
1000,noscone,1.50ms,441.20us,6.56ms,68.51%
1000,noscone,1.52ms,448.01us,7.22ms,66.62%
1000,noscone,1.48ms,448.17us,7.60ms,67.67%
1000,noscone,1.50ms,452.95us,8.42ms,68.34%
1000,noscone,1.43ms,456.76us,14.57ms,70.26%
1000,noscone,1.54ms,430.61us,7.94ms,67.84%
1000,noscone,1.48ms,456.87us,8.92ms,69.60%
1000,noscone,1.43ms,445.21us,6.23ms,67.53%
1000,noscone,1.57ms,435.74us,8.40ms,70.79%
1000,noscone,1.46ms,446.49us,7.05ms,69.31%
1000,noscone,1.47ms,437.07us,7.23ms,67.68%
1000,noscone,1.53ms,426.68us,6.37ms,67.22%
1000,noscone,1.54ms,424.58us,7.06ms,67.77%
1000,noscone,1.53ms,442.60us,6.23ms,67.99%
1000,noscone,1.54ms,449.71us,6.30ms,68.22%
1000,noscone,1.56ms,415.33us,5.92ms,67.52%
1000,noscone,1.45ms,462.69us,11.25ms,71.69%
1000,noscone,1.45ms,452.05us,6.91ms,65.95%
1000,noscone,1.45ms,420.11us,8.01ms,69.86%
1000,noscone,1.46ms,436.09us,8.32ms,69.41%
1000,noscone,1.43ms,430.41us,7.76ms,68.22%
1000,noscone,1.42ms,445.23us,5.96ms,67.79%
1000,noscone,1.48ms,449.84us,9.47ms,67.16%
1000,noscone,1.43ms,471.21us,8.59ms,70.53%
1000,noscone,1.58ms,458.38us,7.89ms,68.47%
1000,noscone,1.48ms,444.74us,13.37ms,69.75%
1000,noscone,1.58ms,430.70us,7.67ms,68.05%
1000,noscone,1.56ms,431.87us,6.26ms,66.62%
1000,noscone,1.47ms,436.84us,6.26ms,66.65%
1000,noscone,1.42ms,427.52us,7.92ms,69.32%
1000,noscone,1.48ms,460.93us,6.19ms,67.01%
1000,noscone,1.47ms,451.70us,7.38ms,68.52%
1000,noscone,1.43ms,425.40us,7.52ms,69.02%
1000,noscone,1.38ms,442.51us,7.94ms,70.30%
1000,noscone,1.48ms,397.46us,8.10ms,68.59%
1000,noscone,1.48ms,446.68us,7.13ms,67.61%
1000,noscone,1.57ms,429.58us,6.50ms,67.48%
1000,noscone,1.42ms,434.22us,6.20ms,67.12%
5000,noscone,1.37ms,507.56us,8.96ms,65.92%
5000,noscone,1.35ms,512.18us,12.14ms,67.48%
5000,noscone,1.37ms,513.38us,10.33ms,64.93%
5000,noscone,1.36ms,499.83us,8.86ms,65.21%
5000,noscone,1.36ms,514.62us,11.35ms,65.62%
5000,noscone,1.36ms,540.90us,9.90ms,68.79%
5000,noscone,1.37ms,499.41us,9.86ms,65.41%
5000,noscone,1.37ms,509.60us,8.19ms,64.34%
5000,noscone,1.36ms,523.24us,14.62ms,66.74%
5000,noscone,1.36ms,496.14us,8.05ms,65.49%
5000,noscone,1.37ms,520.72us,15.27ms,68.10%
5000,noscone,1.37ms,504.36us,7.42ms,65.18%
5000,noscone,1.37ms,507.30us,9.07ms,65.10%
5000,noscone,1.35ms,506.88us,15.01ms,68.32%
5000,noscone,1.35ms,505.80us,7.75ms,65.35%
5000,noscone,1.37ms,526.91us,16.36ms,67.86%
5000,noscone,1.35ms,500.82us,8.41ms,65.05%
5000,noscone,1.35ms,498.17us,9.94ms,66.50%
5000,noscone,1.34ms,496.51us,7.32ms,65.59%
5000,noscone,1.35ms,516.24us,13.95ms,66.78%
5000,noscone,1.37ms,511.37us,9.13ms,65.24%
5000,noscone,1.37ms,508.31us,11.66ms,65.45%
5000,noscone,1.39ms,510.12us,7.10ms,64.23%
5000,noscone,1.35ms,500.54us,8.10ms,65.13%
5000,noscone,1.36ms,503.61us,8.22ms,65.09%
5000,noscone,1.38ms,510.84us,11.21ms,66.12%
5000,noscone,1.36ms,519.18us,11.22ms,65.90%
5000,noscone,1.37ms,498.80us,8.53ms,64.70%
5000,noscone,1.36ms,532.28us,18.69ms,69.03%
5000,noscone,1.36ms,506.45us,8.21ms,65.42%
5000,noscone,1.35ms,504.82us,8.70ms,65.80%
5000,noscone,1.37ms,509.94us,8.61ms,65.07%
5000,noscone,1.38ms,522.41us,9.54ms,65.46%
5000,noscone,1.37ms,499.84us,7.82ms,64.69%
5000,noscone,1.37ms,497.68us,7.64ms,64.29%
5000,noscone,1.35ms,500.42us,7.98ms,64.73%
5000,noscone,1.36ms,502.88us,8.38ms,64.88%
5000,noscone,1.36ms,506.92us,8.14ms,65.72%
5000,noscone,1.35ms,492.27us,8.66ms,66.09%
5000,noscone,1.36ms,514.05us,9.34ms,66.02%
5000,noscone,1.34ms,507.05us,8.29ms,65.67%
5000,noscone,1.36ms,501.78us,8.24ms,65.96%
5000,noscone,1.36ms,501.76us,10.44ms,66.08%
5000,noscone,1.35ms,495.16us,8.75ms,66.06%
5000,noscone,1.36ms,508.74us,15.09ms,65.56%
5000,noscone,1.34ms,549.72us,12.73ms,69.86%
5000,noscone,1.36ms,501.30us,7.48ms,63.74%
5000,noscone,1.35ms,496.40us,8.13ms,65.81%
5000,noscone,1.36ms,500.27us,9.35ms,65.48%
5000,noscone,1.36ms,485.87us,7.54ms,64.53%
10000,noscone,1.50ms,616.15us,15.88ms,70.47%
10000,noscone,1.45ms,587.85us,15.09ms,69.42%
10000,noscone,1.44ms,574.52us,12.85ms,68.54%
10000,noscone,1.46ms,568.88us,11.96ms,67.81%
10000,noscone,1.48ms,595.33us,13.43ms,70.04%
10000,noscone,1.46ms,614.72us,15.84ms,71.01%
10000,noscone,1.47ms,593.20us,14.91ms,68.24%
10000,noscone,1.50ms,632.52us,18.29ms,71.00%
10000,noscone,1.32ms,577.61us,16.80ms,74.74%
10000,noscone,1.48ms,581.39us,11.89ms,68.70%
10000,noscone,1.48ms,576.83us,9.50ms,68.08%
10000,noscone,1.51ms,589.94us,9.63ms,70.06%
10000,noscone,1.45ms,567.31us,11.87ms,68.06%
10000,noscone,1.51ms,578.54us,8.23ms,68.50%
10000,noscone,1.47ms,565.39us,8.30ms,67.95%
10000,noscone,1.49ms,596.87us,13.27ms,68.96%
10000,noscone,1.46ms,578.93us,12.73ms,68.39%
10000,noscone,1.50ms,626.28us,15.48ms,72.52%
10000,noscone,1.41ms,539.28us,9.00ms,68.14%
10000,noscone,1.47ms,568.87us,11.05ms,68.01%
10000,noscone,1.46ms,574.85us,14.17ms,70.21%
10000,noscone,1.48ms,587.46us,17.81ms,70.91%
10000,noscone,1.47ms,589.92us,12.13ms,69.11%
10000,noscone,1.46ms,575.71us,12.94ms,69.16%
10000,noscone,1.51ms,608.89us,13.35ms,68.72%
10000,noscone,1.48ms,619.84us,18.27ms,72.13%
10000,noscone,1.46ms,604.38us,17.09ms,71.38%
10000,noscone,1.43ms,540.87us,7.57ms,67.17%
10000,noscone,1.47ms,583.10us,14.62ms,70.38%
10000,noscone,1.47ms,569.33us,12.71ms,69.67%
10000,noscone,1.47ms,606.15us,15.96ms,69.88%
10000,noscone,1.45ms,609.99us,19.74ms,72.02%
10000,noscone,1.49ms,592.72us,17.30ms,71.27%
10000,noscone,1.46ms,643.20us,22.93ms,74.03%
10000,noscone,1.49ms,639.08us,22.67ms,72.46%
10000,noscone,1.48ms,589.74us,16.54ms,69.26%
